snr_db,method,estimator,equalizer,num_seeds,frames_per_seed,total_bits,bit_errors,total_symbols,symbol_errors,ber_mean,ber_std,ber_ci95,ser_mean,ser_std,ser_ci95,evm_rms_mean,evm_rms_std,evm_rms_ci95,evm_db_mean,evm_db_std,evm_db_ci95,channel_mse_mean,channel_mse_std,channel_mse_ci95,channel_nmse_mean,channel_nmse_std,channel_nmse_ci95,pilot_nmse_mean,pilot_nmse_std,pilot_nmse_ci95,data_nmse_mean,data_nmse_std,data_nmse_ci95,deep_fade_nmse_mean,deep_fade_nmse_std,deep_fade_nmse_ci95,estimator_time_ms_mean,estimator_time_ms_std,estimator_time_ms_ci95,ber_pooled,ser_pooled,ber_plot
30.0,Frame-LS-cubic+MMSE,Frame-LS-cubic,MMSE,3,100,807600,2048,201900,1655,0.002535908865775136,0.0003314706820082801,0.0008234188215163703,0.00819712729073799,0.001012402237257626,0.0025149465770320737,0.13742458213110806,0.057877103204888196,0.14377469471812865,-17.710512164326826,3.4195093942446704,8.494532241927713,0.05526715330197476,0.004969064952758457,0.012343841641284155,0.055267153610087306,0.004969065106275759,0.012343842022642276,0.000490274175729913,5.226913121453723e-06,1.2984372001045825e-05,0.0005418932363196897,2.3301271304545233e-06,5.7883566779346625e-06,0.005038013950106688,0.00021454190133469704,0.0005329516278561394,0.7346996664030788,0.06200554976176983,0.15403032450102414,0.0025359088657751364,0.00819712729073799,0.002535908865775136
0.0,Frame-LS-cubic+ZF,Frame-LS-cubic,ZF,3,100,807600,283680,201900,164038,0.35126300148588413,0.001165158412505231,0.002894413952667392,0.81247152055473,0.0019819896805157717,0.004923535309669217,2.78759338055427,0.5215586353243609,1.2956234748982827,8.80559294543405,1.5963214708720985,3.965482365870136,1.0635961603124935,0.10800963139905903,0.2683107985906551,1.0635961666703224,0.10800962953486849,0.2683107939597491,0.4843611592054367,0.005790081297507863,0.014383359305239565,0.5341226410865784,0.00639944758731121,0.01589710908600944,4.637790123820305,0.16392885948796931,0.4072218618982855,0.7324069995471897,0.03682130263087238,0.09146918646112173,0.3512630014858841,0.81247152055473,0.35126300148588413
5.0,Frame-LS-cubic+ZF,Frame-LS-cubic,ZF,3,100,807600,197142,201900,131965,0.24410846953937593,0.0017158624235733275,0.004262438554573821,0.653615651312531,0.001969025377550776,0.004891330195767314,1.731764870705988,0.08332568686330481,0.20699248109463456,4.763158731812033,0.4140166285914361,1.0284743203757163,0.36665404220422104,0.009536077884304963,0.02368893069459026,0.36665404443939525,0.009536078327869082,0.02368893179646462,0.1537055791914463,0.0011937291405055858,0.0029653875755452346,0.1694653821984927,0.0018499319217135661,0.004595485650899429,1.5808385440707207,0.04343129699340225,0.10788932273153926,0.7908169999912692,0.03659939203074586,0.09091792997071028,0.24410846953937593,0.653615651312531,0.24410846953937593
10.0,Frame-LS-cubic+ZF,Frame-LS-cubic,ZF,3,100,807600,108879,201900,82127,0.1348179791976226,0.0013678156360900768,0.003397842404333125,0.4067706785537395,0.003053567145245713,0.007585481300866673,1.4345189665736076,0.040512137324386986,0.10063772811111783,3.1318206881242694,0.2449835774871079,0.6085729435952338,0.15945858431359133,0.013818706317306187,0.03432756949042282,0.15945858518282574,0.013818706374935031,0.03432756963358081,0.048407128465672335,0.0009116038112191338,0.002264549405624779,0.05329868075748285,0.0013410877589525982,0.0033314466767808857,0.452520973160863,0.018970721374526427,0.04712588438556916,0.7675689995327654,0.006705551047793378,0.01665751223589047,0.1348179791976226,0.4067706785537395,0.1348179791976226
15.0,Frame-LS-cubic+ZF,Frame-LS-cubic,ZF,3,100,807600,46771,201900,37144,0.0579135710747895,0.0007750343316281137,0.001925292011098609,0.18397226349678056,0.0024601293250659313,0.0061113000321791665,0.6011112921817202,0.077979160563922,0.19371097348747277,-4.468127222068,1.1003974402973606,2.733538779356206,0.08950078608468175,0.00239650199994676,0.005953240994352835,0.08950078680490454,0.0023965020006818465,0.00595324099617889,0.015491807777434587,0.00019092743714557497,0.0004742900468211636,0.017053773220007618,0.00028390195295005917,0.0007052515477628099,0.1521227255060027,0.01634350166039633,0.04059950881664466,0.74875400091211,0.015782741109358202,0.03920650238454895,0.0579135710747895,0.18397226349678059,0.0579135710747895
20.0,Frame-LS-cubic+ZF,Frame-LS-cubic,ZF,3,100,807600,16997,201900,13806,0.021046310054482417,0.00036142304535161893,0.0008978246168536065,0.06838038632986626,0.0011676250851041397,0.002900541507092882,0.34083906051588303,0.032502706270597925,0.08074119838073625,-9.375669404619613,0.8359997520416895,2.076738511060686,0.07245399449641506,0.0023026687167703045,0.0057201461969968535,0.07245399518404157,0.002302668901875619,0.005720146656823945,0.004852307448163629,0.00011089878748181063,0.0002754878601709512,0.00533350385647888,0.00012947387258063035,0.0003216309295639009,0.04657248155058672,0.002200135958131648,0.005465440704572772,0.7356546659138985,0.0038901347021031494,0.00966363031728307,0.021046310054482417,0.06838038632986627,0.021046310054482417
25.0,Frame-LS-cubic+ZF,Frame-LS-cubic,ZF,3,100,807600,5731,201900,4656,0.007096334819217435,0.0012277122068038062,0.0030498061920975553,0.023060921248142647,0.003783698175289046,0.00939922732711643,0.18583302673390542,0.026113723057561978,0.06487008424149385,-14.677792178503404,1.2690463759655535,3.152485960496119,0.06567959838081151,0.00302547008416829,0.007515684331854894,0.06567959867107372,0.0030254701855169097,0.0075156845836188224,0.0015376437307956317,2.6276699127827574e-05,6.527493924375348e-05,0.0017084868023327243,1.9436211545777252e-05,4.8282226074422444e-05,0.015356422748882324,0.0016056438229523555,0.003988640372234916,0.7612379991527026,0.03718686956503123,0.09237730506843467,0.0070963348192174345,0.023060921248142643,0.007096334819217435
30.0,Frame-LS-cubic+ZF,Frame-LS-cubic,ZF,3,100,807600,2048,201900,1655,0.002535908865775136,0.0003314706820082801,0.0008234188215163703,0.00819712729073799,0.001012402237257626,0.0025149465770320737,0.13742457671141614,0.05787709204596783,0.14377466699783376,-17.710512367359385,3.4195089033890844,8.49453102257484,0.05526715330197476,0.004969064952758457,0.012343841641284155,0.055267153610087306,0.004969065106275759,0.012343842022642276,0.000490274175729913,5.226913121453723e-06,1.2984372001045825e-05,0.0005418932363196897,2.3301271304545233e-06,5.7883566779346625e-06,0.005038013950106688,0.00021454190133469704,0.0005329516278561394,0.7346996664030788,0.06200554976176983,0.15403032450102414,0.0025359088657751364,0.00819712729073799,0.002535908865775136
0.0,Frame-LS-linear+MMSE,Frame-LS-linear,MMSE,3,100,807600,283680,201900,164038,0.35126300148588413,0.001165158412505231,0.002894413952667392,0.81247152055473,0.0019819896805157717,0.004923535309669217,2.7875934033482603,0.5215586888051391,1.2956236077519008,8.805593000938934,1.5963215825124415,3.965482643200122,0.6045576305190722,0.010040520212768791,0.0249420349061304,0.6045576340953508,0.010040518934665284,0.024942031731145283,0.4843611592054367,0.005790081297507863,0.014383359305239565,0.5341226410865784,0.00639944758731121,0.01589710908600944,4.637790123820305,0.16392885948796931,0.4072218618982855,0.08151033349956076,0.004956734595577413,0.012313211336011372,0.3512630014858841,0.81247152055473,0.35126300148588413
5.0,Frame-LS-linear+MMSE,Frame-LS-linear,MMSE,3,100,807600,197142,201900,131965,0.24410846953937593,0.0017158624235733275,0.004262438554573821,0.653615651312531,0.001969025377550776,0.004891330195767314,1.7317648610533183,0.08332566676847716,0.20699243117631538,4.763158686408252,0.41401653618534373,1.0284740908262575,0.2707652685542901,0.008525072416185695,0.02117745388444939,0.2707652703921,0.008525072782829083,0.021177454795242055,0.1537055791914463,0.0011937291405055858,0.0029653875755452346,0.1694653821984927,0.0018499319217135661,0.004595485650899429,1.5808385440707207,0.04343129699340225,0.10788932273153926,0.08908200000102322,0.003703672631817049,0.009200432856674327,0.24410846953937593,0.653615651312531,0.24410846953937593
10.0,Frame-LS-linear+MMSE,Frame-LS-linear,MMSE,3,100,807600,108879,201900,82127,0.1348179791976226,0.0013678156360900768,0.003397842404333125,0.4067706785537395,0.003053567145245713,0.007585481300866673,1.4345189258654159,0.04051213097112275,0.10063771232873456,3.131820442110543,0.2449835556973593,0.6085728894664977,0.16435334080209335,0.007211146876955885,0.01791348190201673,0.16435334155956904,0.007211147193784308,0.017913482689062166,0.048407128465672335,0.0009116038112191338,0.002264549405624779,0.05329868075748285,0.0013410877589525982,0.0033314466767808857,0.452520973160863,0.018970721374526427,0.04712588438556916,0.08612700185040012,0.001709086055119485,0.004245605122148916,0.1348179791976226,0.4067706785537395,0.1348179791976226
15.0,Frame-LS-linear+MMSE,Frame-LS-linear,MMSE,3,100,807600,46771,201900,37144,0.0579135710747895,0.0007750343316281137,0.001925292011098609,0.18397226349678056,0.0024601293250659313,0.0061113000321791665,0.6011112872146317,0.07797915596518458,0.19371096206357571,-4.468127288840239,1.1003973807433087,2.7335386314157395,0.11807045980667075,0.006702417285231614,0.01664972753813112,0.11807046050826708,0.006702417439842999,0.016649727922207095,0.015491807777434587,0.00019092743714557497,0.0004742900468211636,0.017053773220007618,0.00028390195295005917,0.0007052515477628099,0.1521227255060027,0.01634350166039633,0.04059950881664466,0.08496900069682549,0.0016403760704137055,0.004074920057967501,0.0579135710747895,0.18397226349678059,0.0579135710747895
