training_regime,training_seed,scenario,test_seed,snr_db,method,estimator,equalizer,frames,bit_errors,total_bits,ber,symbol_errors,total_symbols,ser,evm_rms,evm_db,channel_mse,channel_nmse,pilot_nmse,data_nmse,deep_fade_nmse,estimator_time_ms
baseline,0,matched_12tap_exponential,8101,20.0,Frame-LS-linear+ZF,Frame-LS-linear,ZF,60,3428,161520,0.021223377909856365,2760,40380,0.06835066864784546,0.2968232502557364,-10.550041672827167,0.035611162334680556,0.035611163328091305,0.004944495464830349,0.005441488356639942,0.04775183741003275,0.03908166690962389
baseline,0,matched_12tap_exponential,8101,20.0,Frame-LS-linear+MMSE,Frame-LS-linear,MMSE,60,3428,161520,0.021223377909856365,2760,40380,0.06835066864784546,0.2968232585868885,-10.550041429034046,0.035611162334680556,0.035611163328091305,0.004944495464830349,0.005441488356639942,0.04775183741003275,0.03908166690962389
baseline,0,matched_12tap_exponential,8101,20.0,Frame-LS-cubic+ZF,Frame-LS-cubic,ZF,60,3428,161520,0.021223377909856365,2760,40380,0.06835066864784546,0.2968232502557364,-10.550041672827167,0.031051603239029647,0.0310516038366283,0.004944495464830349,0.005441488356639942,0.04775183741003275,0.39564000035170466
baseline,0,matched_12tap_exponential,8101,20.0,Frame-LS-cubic+MMSE,Frame-LS-cubic,MMSE,60,3428,161520,0.021223377909856365,2760,40380,0.06835066864784546,0.2968232585868885,-10.550041429034046,0.031051603239029647,0.0310516038366283,0.004944495464830349,0.005441488356639942,0.04775183741003275,0.39564000035170466
baseline,0,matched_12tap_exponential,8101,20.0,DFT-LS+ZF,DFT-LS,ZF,60,3180,161520,0.019687964338781574,2542,40380,0.06295195641406637,0.3404882704251911,-9.357956892489849,0.02430634310391421,0.02430634376554129,0.005001331359380856,0.004781235515838489,0.0390468922831739,0.03354999838241687
baseline,0,matched_12tap_exponential,8101,20.0,DFT-LS+MMSE,DFT-LS,MMSE,60,3180,161520,0.019687964338781574,2542,40380,0.06295195641406637,0.34048827388364133,-9.35795680426444,0.02430634310391421,0.02430634376554129,0.005001331359380856,0.004781235515838489,0.0390468922831739,0.03354999838241687
baseline,0,matched_12tap_exponential,8101,20.0,LMMSE-oracle+ZF,LMMSE-oracle,ZF,60,2486,161520,0.015391282813273899,1981,40380,0.04905894006934126,0.254110795258213,-11.899537692972507,0.0018202719404750193,0.001820271974429488,0.001027328740262116,0.0010350180198050415,0.011002677088254132,0.016149999767852325
baseline,0,matched_12tap_exponential,8101,20.0,LMMSE-oracle+MMSE,LMMSE-oracle,MMSE,60,2486,161520,0.015391282813273899,1981,40380,0.04905894006934126,0.25411079748255627,-11.899537616941105,0.0018202719404750193,0.001820271974429488,0.001027328740262116,0.0010350180198050415,0.011002677088254132,0.016149999767852325
baseline,0,matched_12tap_exponential,8101,20.0,LMMSE-sample-100+ZF,LMMSE-sample-100,ZF,60,3086,161520,0.019105993065874197,2479,40380,0.06139177810797424,0.2837361797986364,-10.941705657358762,0.00462513812041531,0.004625138213547568,0.0034858542028814556,0.0036804656110083064,0.033543605093533796,0.011096663365606219
baseline,0,matched_12tap_exponential,8101,20.0,LMMSE-sample-100+MMSE,LMMSE-sample-100,MMSE,60,3086,161520,0.019105993065874197,2479,40380,0.06139177810797424,0.2837361810021943,-10.941705620514782,0.00462513812041531,0.004625138213547568,0.0034858542028814556,0.0036804656110083064,0.033543605093533796,0.011096663365606219
